,datetime_session,user_id,session_number,pageviews,datetime_first_engagement
0,2016-09-03 20:08:00,1bd1bd94-9338-41af-89be-7a966f4240b1,1,4,
1,2016-09-05 12:12:31,1bd1bd94-9338-41af-89be-7a966f4240b1,2,6,
2,2016-09-08 17:05:48,1bd1bd94-9338-41af-89be-7a966f4240b1,3,4,
3,2016-09-03 00:12:43,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,1,4,2016-09-07 07:24:47
4,2016-09-04 01:01:26,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,2,5,2016-09-07 07:24:47
5,2016-09-07 07:07:47,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,3,8,2016-09-07 07:24:47
6,2016-09-09 05:05:03,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,4,10,2016-09-07 07:24:47
7,2016-09-04 09:09:40,0128b0a5-958c-48c0-a5b8-8f0e4107e255,1,5,2016-09-10 23:45:35
8,2016-09-07 21:09:50,0128b0a5-958c-48c0-a5b8-8f0e4107e255,2,5,2016-09-10 23:45:35
9,2016-09-09 07:07:52,0128b0a5-958c-48c0-a5b8-8f0e4107e255,3,2,2016-09-10 23:45:35
10,2016-09-10 23:11:35,0128b0a5-958c-48c0-a5b8-8f0e4107e255,4,5,2016-09-10 23:45:35
11,2016-09-12 17:05:26,0128b0a5-958c-48c0-a5b8-8f0e4107e255,5,6,2016-09-10 23:45:35
12,2016-09-14 03:03:39,0128b0a5-958c-48c0-a5b8-8f0e4107e255,6,5,2016-09-10 23:45:35
13,2016-09-02 06:06:33,0a67476f-1f1c-4eb6-b154-d20251145f50,1,2,2016-09-08 16:23:37
14,2016-09-04 17:05:26,0a67476f-1f1c-4eb6-b154-d20251145f50,2,1,2016-09-08 16:23:37
15,2016-09-07 01:01:25,0a67476f-1f1c-4eb6-b154-d20251145f50,3,5,2016-09-08 16:23:37
16,2016-09-08 16:04:37,0a67476f-1f1c-4eb6-b154-d20251145f50,4,18,2016-09-08 16:23:37
17,2016-09-10 18:06:47,0a67476f-1f1c-4eb6-b154-d20251145f50,5,4,2016-09-08 16:23:37
18,2016-09-14 07:07:34,0a67476f-1f1c-4eb6-b154-d20251145f50,6,8,2016-09-08 16:23:37
19,2016-09-18 02:02:25,0a67476f-1f1c-4eb6-b154-d20251145f50,7,2,2016-09-08 16:23:37
20,2016-09-20 21:09:05,0a67476f-1f1c-4eb6-b154-d20251145f50,8,17,2016-09-08 16:23:37
21,2016-09-02 17:05:54,2b086800-e120-44e7-9be8-7f5c80a38cea,1,5,2016-09-02 17:38:54
22,2016-09-06 01:01:43,2b086800-e120-44e7-9be8-7f5c80a38cea,2,6,2016-09-02 17:38:54
23,2016-09-03 19:07:40,4964f380-cbf4-4441-ad98-186b52879e98,1,2,2016-09-20 04:05:59
24,2016-09-07 04:04:05,4964f380-cbf4-4441-ad98-186b52879e98,2,2,2016-09-20 04:05:59
25,2016-09-10 23:11:44,4964f380-cbf4-4441-ad98-186b52879e98,3,4,2016-09-20 04:05:59
26,2016-09-14 10:10:12,4964f380-cbf4-4441-ad98-186b52879e98,4,4,2016-09-20 04:05:59
27,2016-09-17 02:02:33,4964f380-cbf4-4441-ad98-186b52879e98,5,10,2016-09-20 04:05:59
28,2016-09-20 04:04:59,4964f380-cbf4-4441-ad98-186b52879e98,6,11,2016-09-20 04:05:59
29,2016-09-22 04:04:58,4964f380-cbf4-4441-ad98-186b52879e98,7,1,2016-09-20 04:05:59
