,datetime_session,user_id,session_number,pageviews,datetime_first_engagement,is_conversion,pageviews_cumsum
3,2016-09-03 00:12:43,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,1,4,2016-09-07 07:24:47,False,4
4,2016-09-04 01:01:26,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,2,5,2016-09-07 07:24:47,False,9
5,2016-09-07 07:07:47,2a50dc0e-36f6-49e2-aa93-43d4b29fa983,3,8,2016-09-07 07:24:47,True,17
7,2016-09-04 09:09:40,0128b0a5-958c-48c0-a5b8-8f0e4107e255,1,5,2016-09-10 23:45:35,False,5
8,2016-09-07 21:09:50,0128b0a5-958c-48c0-a5b8-8f0e4107e255,2,5,2016-09-10 23:45:35,False,10
9,2016-09-09 07:07:52,0128b0a5-958c-48c0-a5b8-8f0e4107e255,3,2,2016-09-10 23:45:35,False,12
10,2016-09-10 23:11:35,0128b0a5-958c-48c0-a5b8-8f0e4107e255,4,5,2016-09-10 23:45:35,True,17
13,2016-09-02 06:06:33,0a67476f-1f1c-4eb6-b154-d20251145f50,1,2,2016-09-08 16:23:37,False,2
14,2016-09-04 17:05:26,0a67476f-1f1c-4eb6-b154-d20251145f50,2,1,2016-09-08 16:23:37,False,3
15,2016-09-07 01:01:25,0a67476f-1f1c-4eb6-b154-d20251145f50,3,5,2016-09-08 16:23:37,False,8
16,2016-09-08 16:04:37,0a67476f-1f1c-4eb6-b154-d20251145f50,4,18,2016-09-08 16:23:37,True,26
21,2016-09-02 17:05:54,2b086800-e120-44e7-9be8-7f5c80a38cea,1,5,2016-09-02 17:38:54,True,5
23,2016-09-03 19:07:40,4964f380-cbf4-4441-ad98-186b52879e98,1,2,2016-09-20 04:05:59,False,2
24,2016-09-07 04:04:05,4964f380-cbf4-4441-ad98-186b52879e98,2,2,2016-09-20 04:05:59,False,4
25,2016-09-10 23:11:44,4964f380-cbf4-4441-ad98-186b52879e98,3,4,2016-09-20 04:05:59,False,8
26,2016-09-14 10:10:12,4964f380-cbf4-4441-ad98-186b52879e98,4,4,2016-09-20 04:05:59,False,12
27,2016-09-17 02:02:33,4964f380-cbf4-4441-ad98-186b52879e98,5,10,2016-09-20 04:05:59,False,22
28,2016-09-20 04:04:59,4964f380-cbf4-4441-ad98-186b52879e98,6,11,2016-09-20 04:05:59,True,33
32,2016-09-04 20:08:55,3535f12d-9da2-4469-bba9-b98bbeabb0dd,1,3,2016-09-10 08:24:01,False,3
33,2016-09-07 07:07:31,3535f12d-9da2-4469-bba9-b98bbeabb0dd,2,7,2016-09-10 08:24:01,False,10
34,2016-09-10 08:08:01,3535f12d-9da2-4469-bba9-b98bbeabb0dd,3,12,2016-09-10 08:24:01,True,22
38,2016-09-02 07:07:44,01e02b80-f54c-4ba6-a4d3-0454183e5d35,1,14,2016-09-04 22:40:58,False,14
39,2016-09-04 22:10:58,01e02b80-f54c-4ba6-a4d3-0454183e5d35,2,4,2016-09-04 22:40:58,True,18
45,2016-09-04 13:01:47,bb44c93c-4192-4b5b-b82a-f571e9957891,1,3,2016-09-13 20:30:19,False,3
46,2016-09-05 16:04:50,bb44c93c-4192-4b5b-b82a-f571e9957891,2,7,2016-09-13 20:30:19,False,10
47,2016-09-09 01:01:37,bb44c93c-4192-4b5b-b82a-f571e9957891,3,8,2016-09-13 20:30:19,False,18
